鄉鎮市區,建案名稱,坐落街道,起造人,層棟戶數,使用分區,主要用途,主要建材,申報備查日期,銷售期間,坐落基地,建照核發日期,建造執照,第1次登記日期,編號
TOWN,BUILDCASE,LOCATION,BUILDER,HOUSEHOLD,USEZONING,MAINUSE,MAINMATERIAL,DECLAREDATE,SELLINGPERIOD,BUILDINGLANDS,BUILDINGPERMITDATE,BUILDINGPERMITNO,FIRST REGISTRATION DATE,NUMBER
北投區,睦昇天朗,石牌路一段166巷,睦昇國際股份有限公司,68,第三種住宅區,住商用,鋼筋混凝土造,1101202,自售:無;代銷:1110201~1110831;銷售價格仍未確認，代銷合約尚未簽訂;,文林段四小段460地號,1101021,110建字第0258號,,QPPNMLMJKIGGFDA27DG
文山區,天成河悅,景福街,新添成建設股份有限公司,36,第一種商業區,住宅(H-2)第2組集合住宅,鋼筋混凝土造,1101203,自售:無;代銷:1101026~1111025;,萬慶段二小段676-1地號,1101026,110建字第0265號,,RPPNMLNJKIGGFDA37CG
大安區,Diamond Towers-台北之星,忠孝東路三段,龍麟建設股份有限公司,104,商三特(商二)、商業區(原屬住三指定商三使用),(G3)第十九組一般零售業甲組、(H-2)集合住宅,鋼骨造,1101206,自售:無;代銷:1101130~1131130;自代銷合約雙方用印起算36個月;,懷生段二小段44地號,1060711,106建字第0120號,,QPPNMLQJKIGGFDA67DG
大安區,華固大安學府,復興南路二段295之1號共33筆詳見建造執照附表,華固建設股份有限公司,94,第三之一種住宅區、第三種住宅區、第?種商業區,H2(第二組)多戶住宅(詳見建造執照附表)一般事務所.一般零售業乙組.管委會空間,鋼骨鋼筋混凝土造,1101207,自售:售完為止;代銷:1101125~1110731;起始日為準備作業;,學府段一小段593-1地號,1100507,110建字第0112號,,TPQNMLRJKIGGFDA08CG
北投區,原禾御,清江路,板信商業銀行,32,第三種住宅區,一般零售業甲組、多戶住宅,鋼筋混凝土造,1101207,自售:無;代銷:1101201~1110531;,溫泉段四小段584地號,1080624,108建字第0110號,1140325,QPPNMLRJKIGGFDA67CG
南港區,全陽馥,三重里經貿一路,全陽建設股份有限公司負責人楊光鎮,174,住宅區,住商用,RC造(供公眾使用建築物),1101207,自售:自變更備查核准日起至取得使用執照日止;代銷:1100101~1120531;原代銷82戶，銷售32戶;,南港段一小段19-1地號,1101008,110建字第0245號,,XQPNMLRJKIGGFDA58DG
內湖區,義泰吾境,週美里南京東路6段,義泰建設,106,住宅區,住家用,鋼筋混凝土造,1101209,自售:無;代銷:1101201~1111130;,潭美段五小段139地號,1101201,110建字第0317號,1140911,QPQNMLTJKIGGFDA97CG
北投區,家居璽玉,文林北路旁,家居建設股份有限公司,84,第三種住宅區(特),住家用,鋼筋混凝土造,1101209,自售:1101210~1151201;,軟橋段7地號,1101207,110建字0329號,,G2A01101209000201
中正區,富享榮華,新營里金華街,富享建設股份有限公司,63,第參種商業區(原屬第貳種商業區)及第三種住宅區,住商用,鋼骨造(供公眾使用建築物),1101209,自售:1101213~1110630;未完成預售屋資訊及買賣定型化契約備查前皆無任何銷售行為;代銷:1101012~1110411;代理銷售委託可售戶數,於未完成預售屋資訊及買買定型化契約備查前皆無任何契約簽訂行為僅作案前準備工作;,南海段一小段687地號,1101006,110建字第0242號,,QPPNMLTJKIGGFDA87CG
文山區,樹語院,秀明路一段185巷,和暘建設股份有限公司,107,第二種住宅區、第三種住宅區,住家用,鋼筋混凝土造,1101214,自售:無;代銷:1100925~1110824;,萬芳段二小段662-3地號,1101210,110建字第0337號,,QPPNMLOKKIGGFDA47CG
南港區,國泰悠境,向陽路120巷2弄1號1樓,國泰建設股份有限公司,120,第三種住宅區,多戶住宅及一般零售業,RC造 (供公眾使用建築物),1101216,自售:無;代銷:1090528~1140331;,南港段三小段68-3地號,1101210,110建字第0338號,,QPQNMLQKKIGGFDA77CG
北投區,華固樂富中心,北投區建民里文承路,華固建設股份有限公司,28,科技產業專用區(不得作住宅使用),商業用,鋼骨造(供公用使用建築物),1101216,自售:1110101~1121231;,軟橋段49地號,1100719,110建字第0180號,1120809,G1A01101216000100
